Membership No  Date Joined  Active  
    79255      2019-12-20   no    
    98000      2019-2-14    no    
    79121      2015-10-5    no    
    94165      2017-10-12   no    
    20636      2019-7-14    no    
    95305      2017-5-17    no    
    74906      2016-4-11    no    
    94977      2018-10-19   no    
    80534      2020-4-7     no    
    43119      2016-9-25    no    
    49151      2017-12-1    no    
    72588      2017-11-25   no    
    81717      2020-12-15   no    
    37247      2017-4-4     no    
